Type,File name,Nodes count, ,1 parent,2 parents,3 parents,More than 3,,% 1 parent,% 2 parents,% 3 parents,% More than 3
medium,git.gimp.tdag,69868,,69533,334,0,0,,99.5205,0.4780,0.0000,0.0000
medium,git.hbase.tdag,76800,,75869,926,0,0,,98.7878,1.2057,0.0000,0.0000
medium,git.hive.tdag,60519,,58564,1952,2,0,,96.7696,3.2254,0.0033,0.0000
medium,git.incubator-devlake.tdag,19474,,17351,2120,0,0,,89.0983,10.8863,0.0000,0.0000
medium,git.incubator-pagespeed-mod.tdag,14468,,14352,114,0,0,,99.1982,0.7879,0.0000,0.0000
medium,git.incubator-pegasus.tdag,14402,,12589,1799,0,0,,87.4115,12.4913,0.0000,0.0000
medium,git.incubator-seata.tdag,27256,,18231,9024,0,0,,66.8880,33.1083,0.0000,0.0000
medium,git.incubator-superset.tdag,12438,,12207,229,0,0,,98.1428,1.8411,0.0000,0.0000
medium,git.inkscape.tdag,15400,,15380,18,0,0,,99.8701,0.1169,0.0000,0.0000
medium,git.kvrocks.tdag,12608,,10493,2113,0,0,,83.2249,16.7592,0.0000,0.0000
